from;B-ch4;BB-ch4;B-electricity;BB-electricity;B-electricity;BB-electricity;B-h2;BB-h2;B-heat_central;BB-heat_central;B-heat_decentral;BB-heat_decentral
to;B-ch4-demand;BB-ch4-demand;B-electricity-bev_charging;BB-electricity-bev_charging;B-electricity-demand;BB-electricity-demand;B-h2-demand;BB-h2-demand;B-heat_central-demand;BB-heat_central-demand;B-heat_decentral-demand;BB-heat_decentral-demand
type;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2017-09-21 10:00:00;7.851598173515981;405.1665525114155;334.55820297872526;1411.5118011270615;1129.6528676997048;2553.7630241468623;408.42899543378996;692.6917808219177;746.7090755345204;380.70544117342075;639.9940456760567;1271.2392730808672
2017-09-21 11:00:00;7.851598173515981;405.1665525114155;348.855226384735;1517.384247331972;1130.1211758282595;2554.821710418377;408.42899543378996;692.6917808219177;694.5567865744546;353.5135951873121;593.2059612560771;1176.896955671658
2017-09-21 12:00:00;7.851598173515981;405.1665525114155;366.1481790422364;1604.4302523141678;1127.592311934064;2549.1048045521993;408.42899543378996;692.6917808219177;667.6645059223938;338.9132629783011;564.623677382208;1118.4096152430177
2017-09-21 13:00:00;7.851598173515981;405.1665525114155;388.5811075012368;1742.8062270902785;1120.7550132571648;2533.64798498809;408.42899543378996;692.6917808219177;646.3391146989842;328.35534899042267;543.7336701047957;1078.1981268962147
2017-09-21 14:00:00;7.851598173515981;405.1665525114155;397.8979312394317;1843.14268413838;1087.9734442583344;2459.5399459820874;408.42899543378996;692.6917808219177;627.8815764949092;316.6387606925471;520.2083825339809;1026.0432663260817
2017-09-21 15:00:00;7.851598173515981;405.1665525114155;367.19545153008704;1500.257221831947;1083.290362972787;2448.953083266944;408.42899543378996;692.6917808219177;640.3501729774711;320.4336894724904;527.3549413309308;1033.4670892433653
2017-09-21 16:00:00;7.851598173515981;405.1665525114155;378.30828596334663;1486.4596281665615;1091.7199092867722;2468.009436154202;408.42899543378996;692.6917808219177;668.8231060462313;331.50091859717656;546.8541855263244;1063.1024601717593
2017-09-21 17:00:00;7.851598173515981;405.1665525114155;385.9763272923125;1527.5523149917135;1134.3359489852521;2564.349886862006;408.42899543378996;692.6917808219177;710.8953685111048;349.4110488656611;575.1327304173185;1110.344212885987
2017-09-21 18:00:00;7.851598173515981;405.1665525114155;382.2680849914767;1499.3351746661529;1089.2847070182875;2462.504267542327;408.42899543378996;692.6917808219177;769.7069176032256;377.71628274511903;626.7203841909801;1207.8569590453192
2017-09-21 19:00:00;7.851598173515981;405.1665525114155;380.7794850356076;1462.914092885632;1013.5124518181333;2291.208828811309;408.42899543378996;692.6917808219177;825.7781346044366;408.0754096785824;675.3107543299265;1309.3391424690406
2017-09-21 20:00:00;7.851598173515981;405.1665525114155;369.89682029780585;1398.2820738438534;948.5112835747376;2144.2631743251204;408.42899543378996;692.6917808219177;816.9056131901581;406.6987966127843;658.6937346337049;1286.62788816332
