from;r120640428428-biomass_gas-commodity;r120640472472-biomass_gas-commodity;r120670124124-biomass_gas-commodity;r120670201201-biomass_gas-commodity;r120640428428-biomass_solid-commodity;r120640472472-biomass_solid-commodity;r120670124124-biomass_solid-commodity;r120670201201-biomass_solid-commodity;r120640428428-electricity-import;r120640472472-electricity-import;r120670124124-electricity-import;r120670201201-electricity-import;r120640428428-h2-commodity;r120640472472-h2-commodity;r120670124124-h2-commodity;r120670201201-h2-commodity;r120640428428-residual_waste-commodity;r120640472472-residual_waste-commodity;r120670124124-residual_waste-commodity;r120670201201-residual_waste-commodity
to;r120640428428-biomass_gas;r120640472472-biomass_gas;r120670124124-biomass_gas;r120670201201-biomass_gas;r120640428428-biomass_solid;r120640472472-biomass_solid;r120670124124-biomass_solid;r120670201201-biomass_solid;r120640428428-electricity;r120640472472-electricity;r120670124124-electricity;r120670201201-electricity;r120640428428-h2;r120640472472-h2;r120670124124-h2;r120670201201-h2;r120640428428-residual_waste;r120640472472-residual_waste;r120670124124-residual_waste;r120670201201-residual_waste
type;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2019-07-03 15:00:00;0.0;0.0;0.0;0.0;0.02969453712776499;0.025149524545780275;0.01746692613693456;0.5631999324179597;13.899450975914219;4.911199484316869;1.841829801172031;51.97260485106736;0.0;0.0;0.0;0.0;1.3367924115836445;0.0;0.0;0.0
2019-07-03 16:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.4059558979203;6.050189482361413;2.259398707724075;60.28368428075281;0.0;0.0;0.0;0.0;1.3367924115836445;0.0;0.0;0.0
2019-07-03 17:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26.36623140518398;12.173771526454392;4.669134263021461;90.99851404025688;0.0;0.0;0.0;0.0;1.3367924115836445;0.0;0.0;0.0
2019-07-03 18:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.17041705085233;13.573604783673282;4.9751219519498004;95.87271511543854;0.0;0.0;0.0;0.0;1.3367924115836445;0.0;0.0;0.0
2019-07-03 19:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.491160546047666;15.02535400902866;5.411303423716182;98.57595885949556;0.0;0.0;0.0;0.0;1.3367924115836445;0.0;0.0;0.0
2019-07-03 20:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.6195795140763;15.308569083151868;5.515959548454494;98.77061563395353;0.0;0.0;0.0;0.0;1.3340362279975555;0.0;0.0;0.0
2019-07-03 21:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.884836212036493;13.906982047553125;5.251047016406683;98.23426747716492;0.0;0.0;0.0;0.0;1.3230340547026305;0.0;0.0;0.0
2019-07-03 22:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.277280806414495;13.010402234932634;4.944180505887223;97.56962575863943;0.0;0.0;0.0;0.0;1.2934639297149935;0.0;0.0;0.0
2019-07-03 23:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.322569063112585;11.214776904828286;4.068385542200464;96.03168815873849;0.0;0.0;0.0;0.0;1.2300808490513122;0.0;0.0;0.0
2019-07-04 00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.516890395057402;9.843727605154317;3.3949189039591166;100.21025089483551;0.0;0.0;0.0;0.0;1.2038315784175786;0.0;0.0;0.0
