id_scal;scenario_key;name;var_name;carrier;region;tech;type;var_value;var_unit;source;comment
191;2045_scenario;;marginal_cost;residual_waste;ALL;bpchp_heat_high;backpressure;27.2845;EUR/MWh_e;"PyPSA: Danish Energy Agency; technology_data_for_el_and_dh.xlsx";"08 WtE CHP; Large; 50 degree:  Variable O&M"
192;2045_scenario;;thermal_efficiency;residual_waste;ALL;bpchp_heat_high;backpressure;0.76;per unit;"PyPSA: Danish Energy Agency; technology_data_for_el_and_dh.xlsx";"08 WtE CHP; Large; 50 degree:  Heat efficiency; net; annual average"
193;2045_scenario;r120640428428-residual_waste-bpchp_heat_low_central;capacity;residual_waste;r120640428428;bpchp_heat_low_central;backpressure;0.0;MW;;Zero
194;2045_scenario;;capacity_cost;residual_waste;ALL;bpchp_heat_low_central;backpressure;675577.0459946925;;;
195;2045_scenario;;carrier_cost;residual_waste;ALL;bpchp_heat_low_central;backpressure;0.0;Eur/MWh;From original raw_cost_eff:;Zero
196;2045_scenario;;electric_efficiency;residual_waste;ALL;bpchp_heat_low_central;backpressure;0.21;;"PyPSA: Danish Energy Agency; technology_data_for_el_and_dh.xlsx";"08 WtE CHP; Large; 50 degree:  Electricity efficiency; net; annual average"
197;2045_scenario;;expandable;residual_waste;ALL;bpchp_heat_low_central;backpressure;true;;;
198;2045_scenario;;marginal_cost;residual_waste;ALL;bpchp_heat_low_central;backpressure;27.2845;EUR/MWh_e;"PyPSA: Danish Energy Agency; technology_data_for_el_and_dh.xlsx";"08 WtE CHP; Large; 50 degree:  Variable O&M"
199;2045_scenario;;thermal_efficiency;residual_waste;ALL;bpchp_heat_low_central;backpressure;0.76;per unit;"PyPSA: Danish Energy Agency; technology_data_for_el_and_dh.xlsx";"08 WtE CHP; Large; 50 degree:  Heat efficiency; net; annual average"
200;2045_scenario;r120640428428-residual_waste-commodity;capacity;residual_waste;r120640428428;commodity;shortage;132.809523809524;MW;;No limit for import
201;2045_scenario;;marginal_cost;residual_waste;ALL;commodity;shortage;0.0;EUR/MWh;own assumption;own assumption
