from;r120670201201-biomass_gas-bpchp_heat_high;r120670201201-biomass_gas-bpchp_heat_low_central;r120670201201-biomass_gas-bpchp_heat_low_decentral;r120670201201-biomass_solid-bpchp_heat_high;r120670201201-biomass_solid-bpchp_heat_low_central;r120670201201-biomass_solid-bpchp_heat_low_decentral;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity-import;r120670201201-electricity-large_battery_storage;r120670201201-electricity-pv_agri_horizontal;r120670201201-electricity-pv_agri_vertical;r120670201201-electricity-pv_ground;r120670201201-electricity-pv_rooftop;r120670201201-electricity-small_battery_storage;r120670201201-electricity-wind;r120670201201-h2-bpchp_heat_high;r120670201201-residual_waste-bpchp_heat_high;r120670201201-residual_waste-bpchp_heat_low_central
to;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity-boiler_heat_high;r120670201201-electricity-demand_cts;r120670201201-electricity-demand_hh;r120670201201-electricity-demand_ind;r120670201201-electricity-demand_mob;r120670201201-electricity-electrolyzer;r120670201201-electricity-export;r120670201201-electricity-heatpump_central;r120670201201-electricity-heatpump_decentral;r120670201201-electricity-heatpump_heat_high;r120670201201-electricity-large_battery_storage;r120670201201-electricity-small_battery_storage;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity
type;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2019-01-02 10:00:00;0.0;0.0;0.22190119457661855;0.07776705303743271;0.0;0.2290372606615297;0.12225672599202848;4.307312621469993;1.4727198777742763;87.52694875112766;0.8087162043106148;0.0;0.0;0.4460766387458954;3.405512944407177;4.375684826076946;0.0;0.0;82.2269547285104;0.0;0.0;0.05877244423208504;0.10126457379025777;0.0;0.0;19.54953133509626;0.0;0.0;0.0
2019-01-02 11:00:00;0.0;0.0;0.0;0.07776705303743271;0.0;0.2290372606615297;0.15556300342741813;4.493803995920709;1.7406481670701746;87.52694875112766;0.8064437533369649;0.0;0.0;0.430838064995547;3.3672147816704285;4.30810668204487;0.0;0.0;81.70904551855082;0.0;0.0;0.07121057463044556;0.10689038344527207;0.0;0.0;20.63561640926827;0.0;0.0;0.0
2019-01-02 12:00:00;0.0;0.0;0.0;0.07776705303743271;0.0;0.2290372606615297;0.21778188304127777;4.549520096806053;1.8566766163187605;87.52694875112766;0.9767710295955643;0.0;0.0;0.42233648583856187;3.3552989523044463;4.258777216219928;0.0;0.0;73.85777569345741;0.0;0.0;0.06919260267963509;0.14908395585787945;0.0;0.0;28.78125446555837;0.0;0.0;0.0
2019-01-02 13:00:00;0.0;0.0;0.0;0.07776705303743271;0.0;0.2290372606615297;0.19576627526026746;4.377160117941858;1.6263911445270325;87.52694875112766;1.1256774152493023;0.0;0.0;0.41431771487830926;3.341503303161345;4.226513752460686;0.0;0.0;97.30966646727967;0.0;0.0;0.032180995449444263;0.026722595861317984;0.0;0.0;5.15890410231706;0.0;0.0;0.0
2019-01-02 14:00:00;0.0;0.0;0.0;0.07776705303743271;0.0;0.2290372606615297;0.0;4.206730389808243;1.2721058033100106;87.52694875112766;1.2183810160096398;0.0;0.0;0.4211932451947566;3.3672147816704285;4.210564643960835;0.0;0.0;100.27469960421162;0.0;0.0;0.004068387430466052;0.008438714482521365;0.0;0.0;1.629127611258017;0.0;0.0;0.0
2019-01-02 15:00:00;0.0;0.0;0.0;0.07776705303743271;0.0;0.2290372606615297;0.0;3.967469194379872;1.0659560203889107;87.52694875112766;0.9659609724621623;0.0;0.0;0.4346731985491725;3.4188157293462678;4.226513752460686;0.0;0.0;101.29953330501577;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-02 16:00:00;0.0;0.0;0.0;0.07776705303743271;0.0;0.2290372606615297;0.0;3.9428498056646935;0.9541347095665276;87.52694875112766;1.3202349432536056;0.0;0.0;0.4586415022012439;3.481584683985428;4.242584146956735;0.0;0.0;101.62017422905694;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-02 17:00:00;0.0;0.0;0.0;0.07776705303743271;0.0;0.2290372606615297;0.0;4.328774661597802;1.0433703298858774;87.52694875112766;0.9931308195388778;0.0;0.0;0.4725863329431068;3.5062615553973426;4.275094370305062;0.0;0.0;101.83936250709678;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-02 18:00:00;0.0;0.0;0.27591005285246717;0.0;0.0;0.2290372606615297;0.0;5.057430876655109;1.3263557461837978;87.52694875112766;0.8220212336121233;0.0;0.0;0.47537085955451974;3.519275826558731;4.236351770380371;0.0;0.0;102.45880775055831;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-02 19:00:00;0.0;0.0;0.4903853068254854;0.0;0.0;0.2290372606615297;0.0;5.546926517645098;1.5336126707959106;87.52694875112766;0.776066643116402;0.0;0.0;0.475547907126211;3.5566798209641695;4.2183809668380094;0.0;0.0;102.91474071012645;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
